Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen
2020-07-12,11,9,14,9,0,8,11,20,14,14,17,14,4,58,17,5
2020-07-19,15,9,12,9,8,11,12,19,8,12,17,29,4,24,8,10
2020-07-26,15,8,9,6,0,8,10,27,20,14,17,43,4,12,15,0
2020-08-02,15,4,12,28,7,11,13,9,3,14,9,0,4,0,4,5
2020-08-09,8,6,13,5,0,11,13,19,5,12,8,0,13,46,7,0
2020-08-16,8,5,7,13,13,14,11,27,14,10,3,28,2,46,4,5
2020-08-23,10,8,11,16,12,6,13,18,8,10,5,14,8,0,12,9
2020-08-30,17,8,18,11,14,7,9,0,9,8,8,14,0,34,12,5
2020-09-06,10,8,3,9,8,17,7,9,9,14,14,28,6,0,0,0
2020-09-13,11,9,12,6,8,4,6,19,14,13,11,14,10,12,4,0
2020-09-20,9,4,10,6,8,0,2,10,13,11,11,14,2,0,17,9
2020-09-27,8,3,5,11,0,10,5,10,12,11,0,14,2,12,13,0
2020-10-04,6,7,7,14,0,0,6,10,9,8,8,14,2,0,4,9
2020-10-11,11,6,11,9,8,19,10,0,7,10,6,0,0,23,13,14
2020-10-18,9,6,14,17,8,7,11,10,5,6,9,15,5,12,0,0
2020-10-25,7,6,17,8,15,7,10,10,8,7,14,14,9,11,16,4
2020-11-01,7,5,11,5,7,12,14,10,9,6,8,26,12,20,11,0
2020-11-08,9,6,9,11,0,7,16,20,15,14,17,0,13,0,25,9
2020-11-15,11,13,10,11,7,10,8,21,10,19,11,14,6,22,29,9
2020-11-22,16,8,9,11,22,13,16,0,11,10,16,41,9,43,13,13
2020-11-29,10,4,16,5,7,7,10,0,10,12,11,0,2,44,8,0
2020-12-06,11,8,12,5,7,3,8,42,14,15,3,27,4,0,12,0
2020-12-13,16,7,14,8,7,10,6,0,11,10,5,0,10,11,12,0
2020-12-20,17,10,6,6,0,17,7,0,7,11,9,15,12,12,14,0
2020-12-27,10,13,18,19,16,20,18,22,15,17,14,28,11,0,13,9
