Kategorie,Value
Niedersachsen,100
Schleswig-Holstein,93
Mecklenburg-Vorpommern,91
Nordrhein-Westfalen,90
Baden-Württemberg,90
Hamburg,88
Rheinland-Pfalz,87
Sachsen,87
Saarland,87
Bremen,86
Brandenburg,86
Bayern,86
Thüringen,85
Sachsen-Anhalt,83
Hessen,79
Berlin,78
