Kategorie,Value
Nordrhein-Westfalen,100
Baden-Württemberg,83
Bayern,66
Niedersachsen,65
Hessen,57
Berlin,53
Bremen,0
Thüringen,0
Hamburg,0
Rheinland-Pfalz,0
Sachsen,0
Mecklenburg-Vorpommern,0
Schleswig-Holstein,0
Sachsen-Anhalt,0
Saarland,0
Brandenburg,0
