Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen,
2020-06-28,17,19,8,13,11,9,16,13,10,13,18,26,13,10,11,11,
2020-07-05,11,13,6,15,4,6,10,13,11,6,13,9,10,7,9,8,
2020-07-12,9,8,5,4,4,7,9,7,6,8,9,6,7,4,9,9,
2020-07-19,8,9,9,7,9,4,9,9,8,8,11,20,10,6,10,13,
2020-07-26,8,10,4,11,4,7,7,11,10,7,8,13,11,4,10,10,
2020-08-02,13,14,10,11,6,12,19,11,10,14,15,13,14,16,14,24,
2020-08-09,9,12,7,4,6,9,12,9,10,10,10,6,14,0,9,5,
2020-08-16,11,9,10,15,11,6,10,15,8,11,13,19,15,13,12,10,
2020-08-23,12,12,9,8,8,8,12,11,6,11,15,6,9,17,14,15,
2020-08-30,24,20,19,30,54,25,22,19,20,20,18,38,21,17,25,19,
2020-09-06,13,17,11,16,8,14,13,16,13,10,14,22,13,8,7,6,
2020-09-13,21,20,12,15,15,15,21,19,17,15,21,22,15,8,17,16,
2020-09-20,30,35,17,23,19,13,23,28,26,25,34,28,26,11,23,25,
2020-09-27,20,27,16,17,19,10,18,7,18,15,18,19,16,10,23,23,
2020-10-04,20,24,14,13,19,11,20,19,17,17,24,13,25,24,12,16,
2020-10-11,22,26,19,23,11,29,17,16,19,17,22,20,22,11,18,19,
2020-10-18,22,25,14,15,22,17,23,12,19,20,17,26,24,17,22,30,
2020-10-25,31,31,16,24,18,16,25,32,26,25,40,38,43,27,26,27,
2020-11-01,21,24,12,14,13,11,16,16,18,15,19,23,24,20,15,29,
2020-11-08,19,21,14,15,21,12,20,40,17,16,14,15,17,9,16,13,
2020-11-15,15,15,15,19,16,11,16,17,20,16,22,25,38,34,12,30,
2020-11-22,17,18,16,20,12,16,20,20,15,15,14,12,23,14,13,31,
2020-11-29,18,15,11,19,10,9,19,18,11,13,10,15,15,11,17,20,
2020-12-06,21,22,16,25,16,13,22,30,18,17,23,21,24,16,24,22,
2020-12-13,18,19,12,21,10,14,17,20,19,13,26,21,24,7,13,23,
2020-12-20,32,28,23,17,26,20,30,33,25,28,29,44,45,24,22,37,
2020-12-27,14,19,12,18,23,17,15,23,13,13,17,19,31,19,20,28,
