Kategorie,Value
Hamburg,100
Schleswig-Holstein,99
Thüringen,97
Bayern,96
Baden-Württemberg,95
Saarland,95
Niedersachsen,94
Sachsen,93
Nordrhein-Westfalen,92
Rheinland-Pfalz,91
Mecklenburg-Vorpommern,90
Bremen,89
Brandenburg,88
Hessen,82
Sachsen-Anhalt,78
Berlin,74
