Kategorie,Value
Rheinland-Pfalz,100
Saarland,94
Nordrhein-Westfalen,94
Bremen,94
Baden-Württemberg,93
Hamburg,91
Schleswig-Holstein,91
Bayern,89
Brandenburg,88
Niedersachsen,85
Thüringen,84
Sachsen-Anhalt,82
Hessen,82
Mecklenburg-Vorpommern,80
Berlin,78
Sachsen,77
