Kategorie,Value
Hamburg,100
Berlin,93
Hessen,92
Baden-Württemberg,92
Bayern,89
Saarland,87
Nordrhein-Westfalen,83
Rheinland-Pfalz,82
Sachsen,82
Bremen,80
Schleswig-Holstein,77
Niedersachsen,77
Thüringen,67
Brandenburg,64
Mecklenburg-Vorpommern,61
Sachsen-Anhalt,52
