Kategorie,Value
Saarland,100
Sachsen-Anhalt,57
Rheinland-Pfalz,53
Thüringen,52
Mecklenburg-Vorpommern,46
Sachsen,43
Hessen,42
Brandenburg,41
Niedersachsen,30
Bayern,29
Schleswig-Holstein,29
Nordrhein-Westfalen,25
Baden-Württemberg,25
Berlin,24
Hamburg,23
Bremen,22
