Kategorie,Value
Hamburg,100
Nordrhein-Westfalen,72
Schleswig-Holstein,70
Berlin,69
Rheinland-Pfalz,66
Bayern,64
Niedersachsen,63
Baden-Württemberg,62
Hessen,62
Saarland,58
Brandenburg,52
Bremen,48
Sachsen,46
Mecklenburg-Vorpommern,45
Thüringen,40
Sachsen-Anhalt,38
