Kategorie,Value
Berlin,100
Hamburg,76
Brandenburg,60
Schleswig-Holstein,56
Bremen,55
Niedersachsen,55
Nordrhein-Westfalen,52
Sachsen,51
Mecklenburg-Vorpommern,49
Baden-Württemberg,49
Hessen,47
Rheinland-Pfalz,45
Sachsen-Anhalt,43
Bayern,42
Saarland,39
Thüringen,37
