Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen
2020-07-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-26,0,0,89,48,0,0,0,0,24,13,0,0,0,0,0,0
2020-08-02,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
2020-08-09,20,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0
2020-08-16,0,32,0,0,0,0,0,73,0,12,0,0,0,0,0,0
2020-08-23,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
2020-08-30,0,31,0,0,0,0,0,0,0,0,0,0,45,0,0,0
2020-09-06,20,0,84,0,0,0,0,0,0,0,29,0,0,0,0,0
2020-09-13,39,30,0,0,0,0,0,0,0,31,0,0,0,0,0,0
2020-09-20,0,59,0,0,0,0,0,0,0,12,0,0,45,0,0,0
2020-09-27,0,0,0,0,0,0,0,0,23,12,0,0,0,0,0,0
2020-10-04,19,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
2020-10-11,0,0,91,0,0,0,0,0,24,13,0,0,0,91,0,0
2020-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-15,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-22,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
2020-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-13,19,0,86,0,0,0,63,0,0,0,0,0,0,0,0,0
2020-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-27,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
