Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen
2020-07-12,74,54,51,43,33,47,57,49,71,62,68,63,94,57,52,71
2020-07-19,73,61,57,48,53,53,62,64,66,70,83,71,71,69,61,43
2020-07-26,69,63,58,51,55,50,62,78,62,63,65,33,68,48,67,55
2020-08-02,67,57,52,52,70,56,62,45,64,62,60,53,67,58,74,59
2020-08-09,71,52,48,42,44,48,59,62,70,56,67,46,69,88,57,39
2020-08-16,61,57,47,38,47,61,58,89,60,64,66,58,68,100,48,58
2020-08-23,71,50,40,51,45,49,57,52,65,55,65,51,76,60,62,74
2020-08-30,66,53,42,47,33,58,54,44,59,58,66,61,49,45,54,64
2020-09-06,60,58,50,53,55,44,61,66,65,70,68,59,75,64,70,60
2020-09-13,60,57,49,35,44,47,61,98,63,61,66,77,54,51,46,63
2020-09-20,60,50,40,49,42,40,53,51,56,59,59,47,56,71,55,58
2020-09-27,64,50,60,51,65,47,44,64,56,51,56,61,59,56,59,38
2020-10-04,58,51,41,36,54,55,52,65,60,59,75,83,54,43,49,54
2020-10-11,58,48,44,40,50,62,63,60,55,60,63,72,72,52,62,59
2020-10-18,54,50,48,45,26,49,47,57,54,52,60,37,53,55,58,39
2020-10-25,56,55,49,38,34,36,48,62,55,48,53,40,61,58,56,38
2020-11-01,44,49,48,33,43,32,48,36,46,47,59,63,45,35,45,38
2020-11-08,54,55,39,39,29,26,42,58,42,59,59,39,58,51,54,47
2020-11-15,52,50,58,27,41,34,52,63,62,55,66,64,55,41,39,54
2020-11-22,49,47,59,39,54,43,49,47,45,49,62,45,48,43,50,44
2020-11-29,53,47,50,48,47,47,48,65,56,52,62,49,54,50,55,64
2020-12-06,63,58,45,35,53,50,59,94,53,62,58,63,65,57,58,59
2020-12-13,64,62,54,52,51,60,56,72,73,66,62,63,65,58,60,51
2020-12-20,92,88,71,59,68,100,85,90,78,84,77,61,74,85,77,50
2020-12-27,100,100,100,100,75,86,100,95,97,100,95,65,87,77,92,100
