Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen,
2020-06-28,45,54,44,46,20,45,51,37,42,50,56,55,40,50,42,59,
2020-07-05,43,51,47,54,20,30,52,49,33,49,58,75,35,37,39,56,
2020-07-12,42,53,48,55,27,50,51,30,46,49,66,55,47,41,50,37,
2020-07-19,42,54,43,54,14,35,45,38,43,46,58,57,44,33,38,46,
2020-07-26,44,57,41,47,23,28,48,29,32,47,56,56,39,42,36,42,
2020-08-02,45,53,46,65,25,48,45,37,51,59,67,65,45,51,57,64,
2020-08-09,46,51,43,42,40,46,48,44,35,48,61,67,44,45,51,46,
2020-08-16,45,53,44,44,38,21,37,23,33,42,47,48,36,31,39,39,
2020-08-23,37,39,40,51,47,32,36,32,31,38,41,46,36,33,28,42,
2020-08-30,37,48,29,38,20,22,37,43,33,39,43,57,34,42,47,43,
2020-09-06,34,50,37,43,9,17,44,32,34,42,46,56,38,30,42,37,
2020-09-13,36,41,41,41,27,28,34,32,31,33,46,47,35,32,32,38,
2020-09-20,33,43,42,45,17,29,41,40,30,37,44,52,33,40,36,46,
2020-09-27,33,35,30,39,17,21,36,24,26,41,46,49,29,34,38,37,
2020-10-04,38,41,43,24,30,38,39,23,38,40,41,37,35,29,39,39,
2020-10-11,35,34,42,41,18,27,44,27,29,40,40,48,34,25,36,42,
2020-10-18,36,37,38,34,18,29,38,27,35,42,42,43,25,29,35,30,
2020-10-25,37,37,31,37,21,36,37,21,26,41,39,43,29,31,22,23,
2020-11-01,32,35,31,26,20,32,32,25,29,36,36,39,37,26,16,37,
2020-11-08,37,35,38,36,30,29,36,25,35,39,44,47,40,46,36,40,
2020-11-15,35,46,37,39,21,21,48,29,37,47,34,47,37,24,29,43,
2020-11-22,41,39,42,25,13,28,46,40,37,41,50,57,38,26,51,38,
2020-11-29,39,44,39,35,17,39,44,29,34,41,42,39,32,31,39,46,
2020-12-06,42,42,47,35,13,38,33,25,36,44,45,41,49,22,44,34,
2020-12-13,53,98,66,64,34,87,69,46,53,72,82,96,38,52,58,51,
2020-12-20,27,30,32,19,19,25,30,16,28,27,40,42,26,31,30,19,
2020-12-27,29,39,33,29,47,41,45,35,25,41,69,62,19,44,29,27,
