Kategorie,Value
Rheinland-Pfalz,100
Brandenburg,70
Nordrhein-Westfalen,68
Thüringen,67
Niedersachsen,66
Baden-Württemberg,63
Saarland,61
Bayern,58
Sachsen-Anhalt,51
Hessen,50
Sachsen,46
Berlin,31
Mecklenburg-Vorpommern,27
Hamburg,23
Schleswig-Holstein,19
Bremen,0
