Kategorie,Value
Berlin,100
Hamburg,96
Bremen,91
Nordrhein-Westfalen,85
Schleswig-Holstein,84
Saarland,82
Niedersachsen,81
Hessen,80
Baden-Württemberg,79
Rheinland-Pfalz,78
Bayern,78
Mecklenburg-Vorpommern,78
Brandenburg,77
Sachsen-Anhalt,72
Sachsen,71
Thüringen,69
