Kategorie,Value
Baden-Württemberg,100
Sachsen,86
Nordrhein-Westfalen,86
Thüringen,84
Bremen,79
Sachsen-Anhalt,79
Rheinland-Pfalz,78
Schleswig-Holstein,76
Niedersachsen,72
Bayern,72
Brandenburg,71
Hessen,67
Hamburg,67
Saarland,64
Berlin,62
Mecklenburg-Vorpommern,55
