Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen
2020-07-12,5,4,5,3,0,4,5,4,3,4,3,5,6,3,5,6
2020-07-19,4,3,6,5,0,6,4,8,3,5,2,5,5,7,2,6
2020-07-26,6,3,5,6,5,5,6,4,5,3,4,7,3,10,1,8
2020-08-02,5,5,7,6,9,7,3,4,5,5,4,0,8,5,5,0
2020-08-09,5,4,8,11,0,3,8,4,4,6,6,6,4,9,6,3
2020-08-16,5,4,8,0,8,6,6,0,5,6,7,0,5,3,4,9
2020-08-23,5,6,4,6,0,5,6,4,4,4,7,9,4,3,4,3
2020-08-30,5,6,6,4,4,6,6,6,6,4,7,13,6,5,8,6
2020-09-06,4,3,6,3,10,2,3,4,4,4,5,5,6,6,7,3
2020-09-13,5,5,3,9,5,7,5,4,5,5,3,5,2,3,5,3
2020-09-20,3,4,4,12,5,3,5,4,4,4,5,4,6,3,6,3
2020-09-27,5,5,4,5,0,4,4,6,4,5,3,4,3,15,7,3
2020-10-04,6,5,8,6,5,8,2,4,5,5,7,4,7,6,4,6
2020-10-11,5,6,2,8,5,8,4,8,5,5,5,9,4,15,7,3
2020-10-18,8,6,7,6,7,8,5,8,4,6,9,5,6,6,11,6
2020-10-25,7,3,3,10,0,9,6,6,6,7,8,9,3,9,7,6
2020-11-01,5,6,4,4,4,3,7,6,7,4,3,6,3,6,4,0
2020-11-08,5,6,3,7,0,6,5,4,5,4,6,0,7,7,6,0
2020-11-15,3,3,5,6,5,6,3,6,3,5,3,0,3,3,4,6
2020-11-22,3,3,4,5,0,6,2,8,5,3,5,4,3,3,3,0
2020-11-29,6,3,3,2,7,4,2,0,2,4,3,4,6,3,6,9
2020-12-06,3,2,4,5,9,6,4,6,3,3,4,4,4,3,2,0
2020-12-13,3,2,5,4,7,2,3,0,3,4,4,0,3,0,5,3
2020-12-20,5,2,4,3,0,4,5,9,3,3,2,5,4,5,0,5
2020-12-27,3,2,4,5,5,5,2,4,3,2,3,7,2,6,3,0
