Kategorie,Value
Bayern,100
Baden-Württemberg,11
Hessen,11
Berlin,9
Rheinland-Pfalz,9
Schleswig-Holstein,8
Nordrhein-Westfalen,8
Sachsen,8
Niedersachsen,8
Hamburg,8
Thüringen,8
Saarland,7
Brandenburg,7
Sachsen-Anhalt,7
Bremen,6
Mecklenburg-Vorpommern,6
