Kategorie,Value
Hamburg,100
Bremen,92
Saarland,92
Bayern,90
Nordrhein-Westfalen,90
Rheinland-Pfalz,89
Berlin,87
Schleswig-Holstein,87
Niedersachsen,86
Baden-Württemberg,86
Brandenburg,84
Hessen,81
Thüringen,74
Sachsen,72
Sachsen-Anhalt,71
Mecklenburg-Vorpommern,69
