Kategorie,Value
Rheinland-Pfalz,100
Bayern,71
Mecklenburg-Vorpommern,64
Niedersachsen,57
Hessen,54
Hamburg,52
Brandenburg,41
Nordrhein-Westfalen,37
Baden-Württemberg,36
Thüringen,33
Berlin,32
Schleswig-Holstein,29
Sachsen,22
Bremen,0
Saarland,0
Sachsen-Anhalt,0
