Kategorie,Value
Bayern,100
Saarland,86
Rheinland-Pfalz,69
Brandenburg,59
Sachsen,56
Niedersachsen,51
Hessen,51
Thüringen,51
Nordrhein-Westfalen,49
Sachsen-Anhalt,48
Baden-Württemberg,47
Hamburg,41
Schleswig-Holstein,40
Berlin,40
Mecklenburg-Vorpommern,35
Bremen,27
