Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen,
2020-06-28,29,26,25,18,36,21,26,25,24,32,25,33,30,36,27,52,
2020-07-05,27,24,23,25,21,26,27,6,27,31,29,31,17,26,24,33,
2020-07-12,27,22,22,10,11,20,27,35,27,35,16,28,17,24,27,23,
2020-07-19,22,21,19,8,8,12,21,0,22,31,20,14,16,21,11,16,
2020-07-26,18,18,19,18,35,20,18,19,13,33,25,23,15,33,10,20,
2020-08-02,19,22,27,18,10,13,16,16,21,26,34,47,13,8,11,20,
2020-08-09,17,15,23,11,30,17,17,19,21,23,22,9,18,36,17,12,
2020-08-16,16,20,20,23,13,24,24,16,18,27,30,18,22,8,21,36,
2020-08-23,19,17,24,34,17,20,27,22,19,29,32,14,28,16,28,19,
2020-08-30,26,26,29,17,34,24,24,20,24,31,36,27,17,36,30,19,
2020-09-06,20,20,27,24,15,26,26,26,26,27,24,23,16,8,16,32,
2020-09-13,24,29,23,26,26,23,26,24,27,26,20,23,39,20,25,39,
2020-09-20,27,23,25,29,7,28,25,17,28,29,26,32,19,35,22,45,
2020-09-27,24,26,32,14,39,27,26,21,26,25,36,9,18,16,22,19,
2020-10-04,29,29,27,26,35,17,19,50,31,29,27,27,28,39,20,45,
2020-10-11,29,33,23,10,31,27,29,30,26,30,24,24,18,56,32,38,
2020-10-18,33,36,30,31,37,27,26,7,31,33,36,38,31,29,26,44,
2020-10-25,41,36,28,25,54,38,37,37,52,48,55,37,46,56,46,49,
2020-11-01,49,55,45,54,40,34,52,71,61,63,53,67,62,50,71,83,
2020-11-08,61,55,47,49,68,42,56,43,62,57,62,71,61,100,64,52,
2020-11-15,52,46,49,65,39,44,45,61,50,55,79,58,65,75,45,87,
2020-11-22,46,45,51,38,88,42,45,37,56,52,50,44,40,45,43,35,
2020-11-29,48,45,34,45,50,47,47,52,49,48,50,35,50,30,36,36,
2020-12-06,50,48,37,38,42,38,47,33,45,53,57,53,48,44,50,46,
2020-12-13,51,58,48,57,57,45,46,83,55,64,40,48,65,40,57,68,
2020-12-20,45,52,27,25,70,32,34,41,45,45,48,29,43,54,35,62,
2020-12-27,31,31,19,17,12,21,36,30,34,30,33,23,37,19,20,29,
