Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen
2020-07-12,16,17,26,16,16,11,15,15,19,16,19,19,14,5,16,15
2020-07-19,16,13,17,14,22,13,15,14,15,16,11,21,12,13,12,16
2020-07-26,19,20,25,11,8,14,17,6,15,19,14,27,19,13,17,23
2020-08-02,18,20,32,16,17,21,19,22,20,26,19,32,18,8,18,23
2020-08-09,19,19,39,20,12,24,23,15,20,26,24,26,21,12,21,20
2020-08-16,21,21,31,23,22,22,32,20,21,26,22,26,20,20,22,18
2020-08-23,18,21,25,19,16,19,27,18,25,24,20,29,24,12,19,29
2020-08-30,23,20,23,16,15,16,20,12,21,21,21,14,21,14,18,12
2020-09-06,23,20,24,13,12,17,18,13,14,18,14,23,20,17,18,14
2020-09-13,21,18,24,15,16,12,19,14,17,17,16,25,16,11,14,15
2020-09-20,23,21,22,20,17,16,21,17,18,16,17,30,14,13,23,13
2020-09-27,22,24,28,24,14,16,22,21,22,19,21,43,20,15,16,18
2020-10-04,22,26,36,25,18,22,26,21,21,24,27,39,23,11,19,21
2020-10-11,28,30,41,35,29,25,28,17,26,29,26,36,27,17,26,27
2020-10-18,41,47,52,32,37,33,35,29,35,38,36,55,31,19,40,25
2020-10-25,43,40,61,60,44,43,52,36,51,52,57,84,59,27,47,41
2020-11-01,33,30,39,36,25,27,34,24,33,39,31,41,36,25,29,20
2020-11-08,31,26,35,32,24,19,32,19,29,33,29,32,30,22,28,19
2020-11-15,27,27,39,29,31,24,29,13,28,32,29,48,33,17,35,24
2020-11-22,25,26,37,27,14,19,24,23,24,23,29,30,32,15,22,25
2020-11-29,25,25,37,21,15,17,25,16,26,25,31,27,31,25,20,35
2020-12-06,44,40,46,35,17,25,33,34,34,36,44,49,43,41,32,35
2020-12-13,36,42,54,46,24,32,40,44,37,42,43,61,52,36,34,61
2020-12-20,22,23,31,27,14,16,22,23,25,23,21,28,37,26,19,18
2020-12-27,14,15,17,20,17,12,12,26,16,18,14,16,20,16,13,16
