Kategorie,Value
Sachsen,100
Baden-Württemberg,86
Bremen,59
Berlin,58
Thüringen,56
Brandenburg,56
Bayern,49
Hamburg,45
Hessen,43
Schleswig-Holstein,41
Niedersachsen,41
Mecklenburg-Vorpommern,39
Rheinland-Pfalz,36
Nordrhein-Westfalen,34
Sachsen-Anhalt,32
Saarland,27
