Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen,
2020-06-28,33,38,12,43,0,50,27,12,36,36,24,37,17,32,26,0,
2020-07-05,27,30,20,15,100,35,23,38,34,22,25,0,6,33,27,13,
2020-07-12,20,24,32,31,0,64,37,42,21,15,20,0,24,0,42,0,
2020-07-19,22,18,18,0,23,46,38,0,29,21,27,0,6,0,17,15,
2020-07-26,35,27,33,16,0,73,22,12,34,18,20,20,18,19,16,15,
2020-08-02,27,42,11,30,0,18,14,0,20,17,13,0,12,0,22,0,
2020-08-09,22,28,24,15,0,18,23,0,17,15,13,39,12,18,16,0,
2020-08-16,28,29,14,44,19,34,22,12,14,18,33,0,30,18,31,0,
2020-08-23,21,22,30,60,17,32,8,25,21,22,26,39,18,0,6,29,
2020-08-30,21,21,20,0,20,51,16,0,23,20,13,20,6,35,29,14,
2020-09-06,16,32,14,15,0,25,21,13,23,32,7,20,18,18,12,0,
2020-09-13,19,26,31,0,22,9,16,13,12,22,7,20,29,18,12,14,
2020-09-20,31,41,27,45,21,25,24,0,23,13,20,20,11,0,30,14,
2020-09-27,34,36,25,30,21,34,16,14,30,14,26,20,6,36,30,14,
2020-10-04,19,16,10,31,0,54,29,28,14,18,0,0,0,35,31,0,
2020-10-11,22,32,15,32,0,18,17,13,19,29,42,41,18,18,44,42,
2020-10-18,19,30,30,16,22,17,11,27,17,21,20,41,6,18,18,58,
2020-10-25,31,32,36,45,0,50,44,13,28,31,52,0,18,17,12,14,
2020-11-01,31,47,24,14,39,38,36,40,25,26,42,18,22,48,33,0,
2020-11-08,42,50,22,15,21,40,33,14,37,31,26,59,36,52,12,0,
2020-11-15,21,51,7,15,0,40,13,0,26,29,19,0,30,17,18,13,
2020-11-22,33,22,25,29,0,8,23,14,30,32,44,0,24,0,18,0,
2020-11-29,14,40,33,0,0,8,28,14,33,20,32,0,6,51,36,0,
2020-12-06,10,35,11,15,0,40,18,14,19,16,19,38,23,0,24,13,
2020-12-13,30,29,4,29,0,33,10,0,16,10,25,19,18,0,0,0,
2020-12-20,25,20,13,16,24,10,22,32,15,25,42,21,14,0,13,0,
2020-12-27,18,26,50,15,0,49,41,29,17,27,20,0,13,34,31,27,
