Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen,
2020-06-28,9,12,11,9,19,8,10,8,7,7,9,12,16,17,9,17,
2020-07-05,8,8,8,9,7,6,7,6,9,7,8,16,11,6,7,13,
2020-07-12,15,11,10,17,5,5,10,10,11,9,12,16,21,13,7,22,
2020-07-19,8,7,11,7,8,4,5,8,7,6,9,6,17,18,7,6,
2020-07-26,4,6,3,9,8,4,8,6,2,4,7,3,12,6,5,7,
2020-08-02,5,6,7,8,8,5,5,15,6,5,8,8,9,8,4,10,
2020-08-09,5,7,4,6,2,3,5,6,5,5,9,10,9,5,6,7,
2020-08-16,5,10,10,7,0,6,7,11,5,9,7,11,5,9,9,4,
2020-08-23,14,15,14,8,24,8,14,11,11,12,19,13,19,7,14,11,
2020-08-30,7,8,9,8,15,7,8,13,6,8,9,8,13,8,7,9,
2020-09-06,6,6,7,7,0,3,5,8,4,4,7,5,11,5,4,7,
2020-09-13,5,6,9,7,3,9,4,7,5,5,9,5,13,11,6,10,
2020-09-20,5,5,6,8,8,3,4,10,4,6,8,5,11,5,3,11,
2020-09-27,12,13,12,7,5,8,9,20,11,11,12,19,14,10,9,12,
2020-10-04,7,6,7,10,15,7,11,3,8,8,10,19,8,11,11,16,
2020-10-11,17,19,19,18,19,10,16,27,18,19,21,31,28,19,19,17,
2020-10-18,9,11,10,16,8,9,12,15,8,12,10,11,16,9,7,14,
2020-10-25,48,52,41,42,66,38,51,35,48,52,57,83,48,37,52,42,
2020-11-01,14,21,14,19,24,10,15,21,20,17,19,22,33,25,22,20,
2020-11-08,12,15,13,10,10,10,12,27,12,12,13,18,20,12,14,12,
2020-11-15,28,35,23,39,33,22,30,44,29,34,40,26,38,51,23,50,
2020-11-22,19,29,18,27,10,17,24,39,24,25,34,21,29,24,21,20,
2020-11-29,8,9,9,14,3,9,5,11,9,8,11,13,10,8,11,13,
2020-12-06,21,27,22,18,28,21,21,21,25,23,31,26,30,28,25,30,
2020-12-13,17,24,18,16,18,12,24,32,23,21,27,21,27,16,14,18,
2020-12-20,9,10,8,14,0,6,9,10,8,8,7,3,10,8,5,10,
2020-12-27,15,18,12,19,8,20,16,26,19,15,15,11,19,17,16,21,
