Kategorie,Value
Berlin,100
Brandenburg,90
Sachsen,23
Mecklenburg-Vorpommern,20
Sachsen-Anhalt,19
Thüringen,15
Hamburg,15
Bayern,13
Niedersachsen,13
Nordrhein-Westfalen,12
Schleswig-Holstein,12
Hessen,12
Baden-Württemberg,11
Rheinland-Pfalz,10
Saarland,9
Bremen,9
