Kategorie,Value
Hamburg,100
Berlin,99
Nordrhein-Westfalen,94
Bremen,82
Hessen,76
Bayern,75
Baden-Württemberg,74
Rheinland-Pfalz,66
Schleswig-Holstein,63
Niedersachsen,62
Saarland,57
Brandenburg,53
Sachsen,47
Thüringen,43
Mecklenburg-Vorpommern,42
Sachsen-Anhalt,39
