Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen
2020-07-12,51,49,59,51,57,54,52,51,56,55,63,61,59,56,45,57
2020-07-19,44,51,59,51,62,62,54,42,56,54,69,33,63,58,62,59
2020-07-26,48,49,57,55,43,66,50,55,50,52,54,41,43,45,48,42
2020-08-02,48,52,59,42,44,50,43,33,50,43,50,63,49,42,44,50
2020-08-09,50,50,47,45,36,39,45,28,42,44,49,49,49,37,37,56
2020-08-16,54,56,52,41,34,62,49,38,48,48,55,30,46,56,49,48
2020-08-23,53,56,57,48,56,54,52,51,55,52,42,48,45,53,57,61
2020-08-30,55,60,55,43,44,57,52,36,48,52,51,63,44,50,47,48
2020-09-06,47,53,66,42,40,61,52,21,49,49,62,54,50,50,53,39
2020-09-13,45,43,59,41,60,60,48,38,44,45,51,53,48,38,45,48
2020-09-20,50,56,55,47,53,54,56,54,49,52,57,54,50,53,49,46
2020-09-27,51,54,61,53,57,64,55,46,55,57,67,59,48,47,54,62
2020-10-04,49,52,55,53,53,63,56,40,53,53,60,54,55,55,54,45
2020-10-11,53,57,61,48,47,70,55,29,63,55,51,54,46,53,56,61
2020-10-18,58,56,69,61,66,75,56,63,62,60,59,57,65,59,59,62
2020-10-25,57,62,60,57,61,72,54,50,60,59,65,61,52,58,66,73
2020-11-01,61,55,54,45,49,69,52,52,51,52,57,42,47,58,51,64
2020-11-08,58,55,71,51,53,64,55,65,62,56,60,58,56,57,54,78
2020-11-15,58,55,64,53,45,56,59,51,58,57,59,58,55,55,60,68
2020-11-22,56,58,60,50,67,54,54,65,60,57,60,65,62,56,60,43
2020-11-29,53,58,62,53,43,64,55,78,58,60,58,55,56,64,60,56
2020-12-06,57,51,64,48,64,60,56,58,60,56,62,56,52,62,60,61
2020-12-13,67,68,67,69,63,71,65,55,58,61,76,63,67,61,62,73
2020-12-20,90,90,100,100,100,80,95,100,94,91,98,95,83,100,96,97
2020-12-27,100,100,98,85,98,100,93,97,100,100,99,91,100,91,100,100
