Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen,
2020-06-28,5,17,8,9,24,13,16,14,18,16,10,33,7,25,18,23,
2020-07-05,5,17,25,29,25,23,14,14,19,21,13,21,17,20,44,8,
2020-07-12,5,34,58,36,27,24,22,48,37,34,59,36,38,21,37,21,
2020-07-19,5,20,30,15,28,19,25,23,20,17,13,22,26,45,35,22,
2020-07-26,6,15,14,20,0,15,17,0,12,13,9,15,10,29,22,13,
2020-08-02,4,14,29,0,51,38,13,30,20,18,9,30,13,44,26,18,
2020-08-09,9,27,24,24,24,41,26,15,29,31,19,28,40,14,71,51,
2020-08-16,4,12,16,0,24,22,12,29,12,13,15,21,20,14,31,30,
2020-08-23,8,19,36,29,0,37,16,51,19,20,17,28,32,28,48,13,
2020-08-30,7,11,23,14,0,27,9,15,16,10,11,14,10,28,8,21,
2020-09-06,3,6,13,10,27,31,8,30,9,11,13,29,18,14,31,13,
2020-09-13,3,10,13,20,0,27,10,46,16,14,9,14,15,14,16,13,
2020-09-20,8,21,38,24,27,22,21,38,22,15,21,36,41,28,33,12,
2020-09-27,6,30,28,20,52,18,25,40,41,27,34,100,43,28,56,21,
2020-10-04,4,15,28,10,65,9,14,24,10,9,28,14,15,14,21,29,
2020-10-11,13,27,42,63,99,14,21,15,33,22,27,30,35,28,30,37,
2020-10-18,19,31,40,21,55,27,42,46,39,43,49,52,60,29,49,30,
2020-10-25,26,47,64,29,78,77,43,31,35,42,55,43,75,41,36,41,
2020-11-01,4,14,7,18,0,20,22,15,10,17,23,13,12,32,22,23,
2020-11-08,5,20,18,39,26,13,16,17,19,11,15,0,8,34,16,16,
2020-11-15,9,26,31,58,51,12,23,33,19,24,28,14,61,13,32,16,
2020-11-22,15,32,29,33,0,46,43,58,24,33,33,28,46,53,45,35,
2020-11-29,7,19,18,53,26,17,22,50,23,19,23,28,25,13,33,19,
2020-12-06,33,60,42,29,51,33,57,50,55,42,56,76,57,79,56,35,
2020-12-13,17,32,25,46,26,39,25,33,37,40,36,34,46,59,43,46,
2020-12-20,10,42,38,41,90,38,33,37,46,36,46,31,54,96,49,34,
2020-12-27,6,19,18,19,0,15,14,34,16,18,15,21,27,21,33,16,
