Kategorie,Value
Berlin,100
Sachsen,98
Hamburg,95
Brandenburg,91
Mecklenburg-Vorpommern,90
Niedersachsen,88
Rheinland-Pfalz,86
Schleswig-Holstein,84
Bayern,84
Saarland,84
Nordrhein-Westfalen,83
Thüringen,83
Hessen,82
Bremen,82
Baden-Württemberg,81
Sachsen-Anhalt,79
