Category: All categories

Week,BER: (Germany)
2019-01-06,41
2019-01-13,45
2019-01-20,46
2019-01-27,40
2019-02-03,47
2019-02-10,39
2019-02-17,42
2019-02-24,47
2019-03-03,42
2019-03-10,46
2019-03-17,64
2019-03-24,45
2019-03-31,46
2019-04-07,93
2019-04-14,79
2019-04-21,39
2019-04-28,44
2019-05-05,88
2019-05-12,66
2019-05-19,38
2019-05-26,42
2019-06-02,56
2019-06-09,38
2019-06-16,51
2019-06-23,50
2019-06-30,35
2019-07-07,43
2019-07-14,45
2019-07-21,41
2019-07-28,64
2019-08-04,56
2019-08-11,49
2019-08-18,41
2019-08-25,45
2019-09-01,46
2019-09-08,83
2019-09-15,41
2019-09-22,87
2019-09-29,57
2019-10-06,47
2019-10-13,49
2019-10-20,54
2019-10-27,43
2019-11-03,44
2019-11-10,57
2019-11-17,61
2019-11-24,100
2019-12-01,69
2019-12-08,44
2019-12-15,38
2019-12-22,54
2019-12-29,37
