date,value
2019-01-06,16
2019-01-13,15
2019-01-20,16
2019-01-27,13
2019-02-03,18
2019-02-10,16
2019-02-17,19
2019-02-24,14
2019-03-03,13
2019-03-10,16
2019-03-17,15
2019-03-24,13
2019-03-31,16
2019-04-07,27
2019-04-14,20
2019-04-21,16
2019-04-28,16
2019-05-05,14
2019-05-12,21
2019-05-19,16
2019-05-26,35
2019-06-02,23
2019-06-09,15
2019-06-16,82
2019-06-23,100
2019-06-30,33
2019-07-07,99
2019-07-14,58
2019-07-21,25
2019-07-28,21
2019-08-04,17
2019-08-11,20
2019-08-18,18
2019-08-25,23
2019-09-01,25
2019-09-08,18
2019-09-15,13
2019-09-22,25
2019-09-29,18
2019-10-06,16
2019-10-13,13
2019-10-20,15
2019-10-27,21
2019-11-03,20
2019-11-10,14
2019-11-17,15
2019-11-24,16
2019-12-01,15
2019-12-08,14
2019-12-15,14
2019-12-22,13
2019-12-29,47
