Category: All categories

Week,bananenbrot: (Germany)
2019-01-06,53
2019-01-13,58
2019-01-20,61
2019-01-27,61
2019-02-03,78
2019-02-10,65
2019-02-17,68
2019-02-24,79
2019-03-03,87
2019-03-10,84
2019-03-17,83
2019-03-24,73
2019-03-31,62
2019-04-07,64
2019-04-14,68
2019-04-21,70
2019-04-28,66
2019-05-05,51
2019-05-12,73
2019-05-19,67
2019-05-26,65
2019-06-02,54
2019-06-09,42
2019-06-16,52
2019-06-23,51
2019-06-30,55
2019-07-07,45
2019-07-14,55
2019-07-21,29
2019-07-28,54
2019-08-04,72
2019-08-11,74
2019-08-18,72
2019-08-25,65
2019-09-01,59
2019-09-08,70
2019-09-15,62
2019-09-22,100
2019-09-29,85
2019-10-06,53
2019-10-13,84
2019-10-20,76
2019-10-27,61
2019-11-03,83
2019-11-10,81
2019-11-17,64
2019-11-24,70
2019-12-01,58
2019-12-08,43
2019-12-15,41
2019-12-22,39
2019-12-29,77
