Category: All categories

Week,bill gates: (Germany)
2019-01-06,34
2019-01-13,23
2019-01-20,30
2019-01-27,34
2019-02-03,31
2019-02-10,30
2019-02-17,25
2019-02-24,24
2019-03-03,24
2019-03-10,17
2019-03-17,20
2019-03-24,18
2019-03-31,22
2019-04-07,22
2019-04-14,21
2019-04-21,24
2019-04-28,20
2019-05-05,20
2019-05-12,13
2019-05-19,20
2019-05-26,23
2019-06-02,26
2019-06-09,18
2019-06-16,20
2019-06-23,32
2019-06-30,19
2019-07-07,23
2019-07-14,22
2019-07-21,26
2019-07-28,23
2019-08-04,15
2019-08-11,31
2019-08-18,19
2019-08-25,19
2019-09-01,18
2019-09-08,21
2019-09-15,49
2019-09-22,100
2019-09-29,43
2019-10-06,35
2019-10-13,32
2019-10-20,27
2019-10-27,39
2019-11-03,48
2019-11-10,37
2019-11-17,35
2019-11-24,32
2019-12-01,34
2019-12-08,27
2019-12-15,32
2019-12-22,28
2019-12-29,28
