factor,keyword
2478819.37,corona
99152.77,netflix
97169.71,maske
74820.68,merkel
44144.20,zoom
42819.88,baumarkt
39822.49,söder
31061.54,drosten
27644.77,desinfektionsmittel
26538.99,klopapier
22027.35,oktoberfest
19604.34,alkohol
14311.17,bill gates
10590.27,BER
8366.31,attila hildmann
7111.36,querdenken
5617.98,bananenbrot
112.36,homeworkout
100.00,kneipentour
13.00,onlinesemester
